                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4746,                 1.9742,                 1.2453,                0.56482,                0.33072,                0.30356,                0.19101,                  1.373,                 2.2109,                 1.2458,                0.07005,              0.0033277,              0.0033277
                      1,                 1.3194,                 1.0746,                 1.1562,                0.44315,                0.43923,                0.34453,                0.21567,                 1.3513,                 2.3603,                 1.2426,               0.039391,              0.0060016,              0.0060016
                      2,                 1.3006,                0.99422,                 1.1497,                0.59095,                 0.4474,                0.40107,                0.23777,                 1.3832,                 1.9003,                 1.2788,              0.0080714,              0.0080155,              0.0080155
                      3,                  1.295,                0.94004,                  1.153,                0.49109,                0.45536,                0.37624,                0.21731,                 1.3997,                 1.6334,                 1.2989,                0.00703,                0.00703,                0.00703
                      4,                 1.2624,                0.86776,                 1.1413,                0.58911,                0.43459,                0.44461,                0.26678,                 1.3674,                 1.8255,                 1.2613,                0.00703,                0.00703,                0.00703
                      5,                 1.2227,                 0.7955,                 1.1175,                0.57117,                0.49703,                0.45083,                0.28169,                 1.3319,                 1.3933,                  1.228,                0.00604,                0.00604,                0.00604
                      6,                  1.184,                0.73809,                 1.0985,                0.44564,                0.58392,                0.47326,                0.30079,                 1.3074,                 1.3364,                 1.2134,                0.00505,                0.00505,                0.00505
                      7,                 1.1567,                0.69247,                 1.0858,                0.52244,                0.53195,                0.48378,                0.30062,                 1.2825,                 1.2652,                 1.1962,                0.00406,                0.00406,                0.00406
                      8,                 1.1202,                0.64572,                 1.0677,                0.54599,                0.58967,                 0.5242,                 0.3355,                  1.251,                 1.0931,                 1.1796,                0.00307,                0.00307,                0.00307
                      9,                 1.0865,                 0.6039,                 1.0559,                0.58347,                0.59211,                 0.5509,                0.35799,                 1.2501,                 1.0821,                 1.1798,                0.00208,                0.00208,                0.00208
